order_date,bbq_ckn_l,bbq_ckn_m,bbq_ckn_s,big_meat_s,brie_carre_s,calabrese_l,calabrese_m,calabrese_s,cali_ckn_l,cali_ckn_m,cali_ckn_s,ckn_alfredo_l,ckn_alfredo_m,ckn_alfredo_s,ckn_pesto_l,ckn_pesto_m,ckn_pesto_s,classic_dlx_l,classic_dlx_m,classic_dlx_s,five_cheese_l,four_cheese_l,four_cheese_m,green_garden_l,green_garden_m,green_garden_s,hawaiian_l,hawaiian_m,hawaiian_s,ital_cpcllo_l,ital_cpcllo_m,ital_cpcllo_s,ital_supr_l,ital_supr_m,ital_supr_s,ital_veggie_l,ital_veggie_m,ital_veggie_s,mediterraneo_l,mediterraneo_m,mediterraneo_s,mexicana_l,mexicana_m,mexicana_s,napolitana_l,napolitana_m,napolitana_s,pep_msh_pep_l,pep_msh_pep_m,pep_msh_pep_s,pepperoni_l,pepperoni_m,pepperoni_s,peppr_salami_l,peppr_salami_m,peppr_salami_s,prsc_argla_l,prsc_argla_m,prsc_argla_s,sicilian_l,sicilian_m,sicilian_s,soppressata_l,soppressata_m,soppressata_s,southw_ckn_l,southw_ckn_m,southw_ckn_s,spicy_ital_l,spicy_ital_m,spicy_ital_s,spin_pesto_l,spin_pesto_m,spin_pesto_s,spinach_fet_l,spinach_fet_m,spinach_fet_s,spinach_supr_l,spinach_supr_m,spinach_supr_s,thai_ckn_l,thai_ckn_m,thai_ckn_s,the_greek_l,the_greek_m,the_greek_s,the_greek_xl,the_greek_xxl,veggie_veg_l,veggie_veg_m,veggie_veg_s
2015-01-01,6,4,1,5,0,0,1,0,2,1,1,0,1,1,3,1,0,1,7,2,7,3,3,1,1,5,1,1,2,5,3,0,6,8,1,0,0,2,1,2,0,6,2,1,1,0,1,2,1,3,2,3,1,1,1,2,2,1,1,2,1,1,1,0,0,4,1,2,4,0,1,1,0,1,2,0,0,0,3,2,6,2,0,0,0,4,1,0,1,0,2
2015-01-02,3,4,2,8,0,0,0,0,3,2,0,0,1,0,1,0,1,2,1,3,6,2,1,0,0,1,5,1,4,3,3,1,4,3,1,1,1,2,1,0,0,3,2,0,4,0,2,0,0,1,4,4,4,1,2,1,2,1,1,4,1,1,4,0,0,2,1,3,8,1,2,1,0,1,2,0,2,3,0,5,4,2,3,0,4,2,1,0,4,1,0
2015-01-03,3,3,1,8,1,0,1,0,6,4,2,3,2,0,1,1,1,1,3,1,4,5,2,0,1,0,4,2,2,1,1,1,3,1,0,2,1,0,1,1,1,2,2,0,1,3,2,0,0,2,3,3,2,4,1,0,2,1,4,0,5,2,1,0,0,4,0,1,1,3,0,3,1,2,1,1,0,0,1,1,5,3,2,0,2,1,4,0,2,4,1
2015-01-04,6,4,1,0,2,0,1,1,3,1,1,0,4,1,1,0,0,3,1,0,4,2,2,0,1,2,1,1,2,2,0,1,1,2,2,1,1,1,0,0,0,0,1,1,1,3,1,1,0,1,1,1,2,0,1,0,1,2,2,0,2,1,0,0,0,0,0,1,5,1,0,1,1,1,0,1,3,2,0,2,3,2,0,0,2,2,0,0,0,1,0
2015-01-05,1,1,0,4,2,0,0,0,1,6,1,1,8,0,2,0,0,2,2,5,6,2,3,0,1,1,2,0,3,0,1,2,2,4,0,0,1,2,1,0,0,2,1,0,1,3,1,2,1,0,2,1,3,3,1,0,2,1,0,0,2,4,0,1,1,2,2,0,2,1,0,3,1,0,1,2,0,1,0,1,3,2,1,1,0,1,0,0,0,2,0
2015-01-06,2,2,0,6,1,1,1,0,3,2,1,0,5,0,2,0,0,1,7,3,5,4,2,0,2,3,3,2,6,4,1,1,1,5,0,0,0,0,4,0,0,4,0,0,0,0,1,2,0,0,2,5,1,0,1,3,1,1,2,3,2,0,0,0,1,2,1,1,3,2,1,0,1,0,2,2,4,1,1,0,7,1,2,0,1,0,2,0,1,2,1
2015-01-07,2,1,3,6,2,2,1,1,2,2,1,0,3,0,1,2,3,2,3,1,5,2,1,0,1,1,4,1,2,0,1,1,1,4,0,0,1,3,0,3,0,0,1,0,0,1,0,2,0,1,1,7,6,0,1,1,1,0,1,4,1,3,1,3,0,1,1,0,3,2,0,1,0,1,2,1,2,0,1,0,4,1,1,0,2,2,2,0,2,2,3
2015-01-08,3,3,0,7,0,0,3,1,1,4,2,0,4,1,1,0,0,1,3,0,5,8,2,2,2,2,5,0,4,2,2,1,2,5,0,2,4,1,0,1,0,3,2,0,0,2,3,0,3,2,4,3,2,3,0,1,1,4,1,4,5,1,0,0,1,3,2,0,6,2,2,0,0,0,3,1,3,0,2,2,6,1,0,0,0,2,1,0,1,4,3
2015-01-09,1,0,2,5,1,0,1,0,1,3,1,0,3,0,2,0,1,1,3,5,5,6,0,0,1,4,1,1,3,0,3,0,3,1,0,2,2,0,1,1,1,2,1,0,1,1,0,0,0,0,4,3,1,3,2,0,2,2,1,1,2,3,1,1,1,2,0,0,3,1,1,1,0,0,0,3,0,3,0,1,3,1,1,2,3,0,3,0,1,0,1
2015-01-10,3,1,2,4,1,1,3,0,4,2,1,0,2,0,1,0,0,3,2,3,6,4,2,0,1,1,2,1,0,1,1,0,2,2,1,0,1,3,1,2,0,5,2,1,1,0,1,0,3,1,4,3,0,4,2,1,2,3,0,0,1,2,1,0,4,1,5,1,4,1,0,2,2,0,1,2,1,2,3,0,2,0,2,1,1,2,3,0,1,2,2
